Player,Team,Position,GamesPlayed,Points,Goals,Assists,Pts_Per_Game,Shooting_Pct,PlusMinus,PIM,GWG,PPG,SHG,Goal_Contribution_Pct,Assists_Per_Game,Shots_Per_Game,Last_Update
Brayden Pachal,CGY,D,21,3,0,3,0.14,0.0,0,33,0,0,0,0.0,0.14,0.62,2026-01-02 19:28:36
Nick DeSimone,UTA,D,16,3,2,1,0.19,10.5,1,2,1,0,0,66.7,0.06,1.19,2026-01-02 19:28:36
Vincent Iorio,SJS,D,15,3,0,3,0.2,0.0,-3,8,0,0,0,0.0,0.2,0.4,2026-01-02 19:28:36
Rutger McGroarty,PIT,R,15,3,2,1,0.2,7.4,-5,0,0,0,0,66.7,0.07,1.8,2026-01-02 19:28:36
Lian Bichsel,DAL,D,26,3,1,2,0.12,11.1,6,22,0,0,0,33.3,0.08,0.35,2026-01-02 19:28:36
Trent Frederic,EDM,C,40,3,2,1,0.08,5.1,-10,32,1,0,0,66.7,0.02,0.98,2026-01-02 19:28:36
Michael Misa,SJS,C,7,3,1,2,0.43,7.7,-1,2,0,0,0,33.3,0.29,1.86,2026-01-02 19:28:36
Noah Philp,CAR,C,15,3,2,1,0.2,16.7,-7,4,0,0,0,66.7,0.07,0.8,2026-01-02 19:28:36
Nathan Bastian,DAL,R,20,3,3,0,0.15,23.1,3,10,0,0,0,100.0,0.0,0.65,2026-01-02 19:28:36
Alec Regula,EDM,D,24,3,0,3,0.12,0.0,-12,31,0,0,0,0.0,0.12,0.58,2026-01-02 19:28:36
Scott Morrow,NYR,D,16,3,0,3,0.19,0.0,-1,2,0,0,0,0.0,0.19,0.94,2026-01-02 19:28:36
Filip Chytil,VAN,C,6,3,3,0,0.5,20.0,0,6,1,0,0,100.0,0.0,2.5,2026-01-02 19:28:36
Isaac Howard,EDM,L,17,3,2,1,0.18,10.5,-2,10,0,0,0,66.7,0.06,1.12,2026-01-02 19:28:36
Joshua Mahura,SEA,D,20,3,1,2,0.15,8.3,9,16,1,0,0,33.3,0.1,0.6,2026-01-02 19:28:36
Luke Kunin,FLA,C,29,3,2,1,0.1,8.7,-5,21,0,0,0,66.7,0.03,0.79,2026-01-02 19:28:36
John Beecher,CGY,C,24,3,1,2,0.12,4.8,-5,12,0,0,0,33.3,0.08,0.88,2026-01-02 19:28:36
Mathew Dumba,PIT,D,11,3,1,2,0.27,14.3,-5,11,0,0,0,33.3,0.18,0.64,2026-01-02 19:28:36
Brett Kulak,PIT,D,39,3,0,3,0.08,0.0,-6,14,0,0,0,0.0,0.08,0.97,2026-01-02 19:28:36
Jonah Gadjovich,FLA,L,10,3,0,3,0.3,0.0,2,7,0,0,0,0.0,0.3,0.8,2026-01-02 19:28:36
Noah Gregor,FLA,L,22,3,1,2,0.14,5.3,-5,11,0,0,0,33.3,0.09,0.86,2026-01-02 19:28:36
Urho Vaakanainen,NYR,D,19,3,0,3,0.16,0.0,-1,10,0,0,0,0.0,0.16,0.63,2026-01-02 19:28:36
Daniil But,UTA,L,14,3,1,2,0.21,4.0,0,4,0,1,0,33.3,0.14,1.79,2026-01-02 19:28:36
Juuso Parssinen,NYR,C,14,3,2,1,0.21,16.7,3,2,0,0,0,66.7,0.07,0.86,2026-01-02 19:28:36
Chris Tanev,TOR,D,11,2,0,2,0.18,0.0,8,0,0,0,0,0.0,0.18,0.73,2026-01-02 19:28:36
Danton Heinen,CBJ,L,13,2,1,1,0.15,7.1,1,8,0,0,0,50.0,0.08,1.08,2026-01-02 19:28:36
Nick Lardis,CHI,L,9,2,2,0,0.22,14.3,-1,4,0,1,0,100.0,0.0,1.56,2026-01-02 19:28:36
Vincent Desharnais,SJS,D,20,2,0,2,0.1,0.0,1,32,0,0,0,0.0,0.1,0.6,2026-01-02 19:28:36
Rasmus Ristolainen,PHI,D,8,2,0,2,0.25,0.0,0,4,0,0,0,0.0,0.25,1.62,2026-01-02 19:28:36
Arber Xhekaj,MTL,D,36,2,1,1,0.06,3.8,-6,71,0,0,0,50.0,0.03,0.72,2026-01-02 19:28:36
Philippe Myers,TOR,D,21,2,0,2,0.1,0.0,-8,12,0,0,0,0.0,0.1,1.0,2026-01-02 19:28:36
Brendan Smith,CBJ,D,15,2,0,2,0.13,0.0,-1,11,0,0,0,0.0,0.13,0.67,2026-01-02 19:28:36
Juho Lammikko,NJD,C,19,2,0,2,0.11,0.0,-1,4,0,0,0,0.0,0.11,0.79,2026-01-02 19:28:36
Brandon Carlo,TOR,D,18,2,0,2,0.11,0.0,2,6,0,0,0,0.0,0.11,1.28,2026-01-02 19:28:36
Kaiden Guhle,MTL,D,5,2,1,1,0.4,14.3,1,7,1,0,0,50.0,0.2,1.4,2026-01-02 19:28:36
Jack St. Ivany,PIT,D,7,2,0,2,0.29,0.0,2,4,0,0,0,0.0,0.29,1.43,2026-01-02 19:28:36
Denver Barkey,PHI,C,6,2,0,2,0.33,0.0,-1,4,0,0,0,0.0,0.33,1.33,2026-01-02 19:28:36
Landon Slaggert,CHI,L,14,2,1,1,0.14,8.3,2,12,0,0,0,50.0,0.07,0.86,2026-01-02 19:28:36
Cole Schwindt,FLA,R,10,2,2,0,0.2,28.6,0,0,0,0,0,100.0,0.0,0.7,2026-01-02 19:28:36
Sam Lafferty,CHI,C,17,2,1,1,0.12,16.7,2,14,0,0,0,50.0,0.06,0.35,2026-01-02 19:28:36
Daemon Hunt,MIN,D,12,2,0,2,0.17,0.0,3,4,0,0,0,0.0,0.17,0.25,2026-01-02 19:28:36
Donovan Sebrango,FLA,D,12,2,0,2,0.17,0.0,0,14,0,0,0,0.0,0.17,0.67,2026-01-02 19:28:36
Marc Gatcomb,NYI,C,14,2,1,1,0.14,5.3,0,2,0,0,0,50.0,0.07,1.36,2026-01-02 19:28:36
Jake Bean,CGY,D,16,2,1,1,0.12,6.2,-7,16,0,0,0,50.0,0.06,1.0,2026-01-02 19:28:36
Jacob Melanson,SEA,R,9,2,0,2,0.22,0.0,-2,0,0,0,0,0.0,0.22,0.78,2026-01-02 19:28:36
Hugh McGing,STL,L,3,2,1,1,0.67,25.0,0,0,0,0,0,50.0,0.33,1.33,2026-01-02 19:28:36
Logan Mailloux,STL,D,27,2,1,1,0.07,3.4,-20,29,0,0,0,50.0,0.04,1.07,2026-01-02 19:28:36
Alexander Holtz,VGK,R,12,2,1,1,0.17,6.7,-1,8,0,0,0,50.0,0.08,1.25,2026-01-02 19:28:36
Max Jones,EDM,L,8,2,1,1,0.25,8.3,0,5,0,0,0,50.0,0.12,1.5,2026-01-02 19:28:36
Bradly Nadeau,CAR,L,8,2,2,0,0.25,25.0,-2,0,0,1,0,100.0,0.0,1.0,2026-01-02 19:28:36
Charles Alexis Legault,CAR,D,8,2,1,1,0.25,10.0,4,10,0,0,0,50.0,0.12,1.25,2026-01-02 19:28:36
Kasperi Kapanen,EDM,R,6,2,0,2,0.33,0.0,-2,0,0,0,0,0.0,0.33,0.67,2026-01-02 19:28:36
Pavol Regenda,SJS,L,3,2,2,0,0.67,25.0,-2,2,0,2,0,100.0,0.0,2.67,2026-01-02 19:28:36
Jonathan Lekkerimäki,VAN,R,8,2,1,1,0.25,25.0,0,0,0,0,0,50.0,0.12,0.5,2026-01-02 19:28:36
Curtis Lazar,EDM,C,20,2,2,0,0.1,28.6,-3,2,0,0,0,100.0,0.0,0.35,2026-01-02 19:28:36
Olle Lycksell,OTT,R,7,2,1,1,0.29,14.3,-2,0,1,0,0,50.0,0.14,1.0,2026-01-02 19:28:36
Jordan Harris,BOS,D,5,2,1,1,0.4,11.1,0,0,0,0,0,50.0,0.2,1.8,2026-01-02 19:28:36
Curtis Douglas,TBL,C,27,2,0,2,0.07,0.0,1,75,0,0,0,0.0,0.07,0.56,2026-01-02 19:28:36
Zack Ostapchuk,SJS,C,18,2,1,1,0.11,7.7,0,2,1,0,0,50.0,0.06,0.72,2026-01-02 19:28:36
Jonathan Aspirot,BOS,D,21,2,2,0,0.1,12.5,10,15,0,0,0,100.0,0.0,0.76,2026-01-02 19:28:36
Kevin Rooney,UTA,C,1,1,1,0,1.0,100.0,1,0,0,0,0,100.0,0.0,1.0,2026-01-02 19:28:36
Teddy Blueger,VAN,C,2,1,1,0,0.5,50.0,0,0,1,0,0,100.0,0.0,1.0,2026-01-02 19:28:36
Dmitri Simashev,UTA,D,24,1,0,1,0.04,0.0,-9,18,0,0,0,0.0,0.04,0.96,2026-01-02 19:28:36
Brandon Tanev,UTA,L,29,1,0,1,0.03,0.0,-9,10,0,0,0,0.0,0.03,0.62,2026-01-02 19:28:36
Olli Määttä,UTA,D,19,1,0,1,0.05,0.0,-4,2,0,0,0,0.0,0.05,0.47,2026-01-02 19:28:36
P.O Joseph,VAN,D,12,1,0,1,0.08,0.0,-4,2,0,0,0,0.0,0.08,0.83,2026-01-02 19:28:36
Brad Lambert,WPG,C,4,1,1,0,0.25,33.3,-1,2,0,0,0,100.0,0.0,0.75,2026-01-02 19:28:36
Alexander Kerfoot,UTA,C,5,1,1,0,0.2,11.1,-2,4,0,0,0,100.0,0.0,1.8,2026-01-02 19:28:36
Maveric Lamoureux,UTA,D,5,1,0,1,0.2,0.0,4,2,0,0,0,0.0,0.2,0.8,2026-01-02 19:28:36
Dennis Cholowski,NJD,D,15,1,0,1,0.07,0.0,-5,2,0,0,0,0.0,0.07,0.67,2026-01-02 19:28:36
Patrik Laine,MTL,L,5,1,0,1,0.2,0.0,-3,2,0,0,0,0.0,0.2,1.2,2026-01-02 19:28:36
Florian Xhekaj,MTL,L,5,1,0,1,0.2,0.0,-1,7,0,0,0,0.0,0.2,0.8,2026-01-02 19:28:36
Quinn Hutson,EDM,R,3,1,1,0,0.33,33.3,0,0,1,0,0,100.0,0.0,1.0,2026-01-02 19:28:36
Tyler Pitlick,MIN,C,23,1,1,0,0.04,5.3,-1,24,0,0,0,100.0,0.0,0.83,2026-01-02 19:28:36
Nicolas Aube-Kubel,MIN,R,4,1,0,1,0.25,0.0,1,6,0,0,0,0.0,0.25,1.0,2026-01-02 19:28:36
Matt Kiersted,MIN,D,3,1,0,1,0.33,0.0,1,0,0,0,0,0.0,0.33,1.33,2026-01-02 19:28:36
Owen Beck,MTL,C,9,1,1,0,0.11,12.5,4,4,0,0,0,100.0,0.0,0.89,2026-01-02 19:28:36
Jared Davidson,MTL,C,10,1,0,1,0.1,0.0,-4,10,0,0,0,0.0,0.1,0.9,2026-01-02 19:28:36
Brady Martin,NSH,C,3,1,0,1,0.33,0.0,0,0,0,0,0,0.0,0.33,0.67,2026-01-02 19:28:36
Michael Brandsegg-Nygård,DET,R,9,1,0,1,0.11,0.0,-5,2,0,0,0,0.0,0.11,1.56,2026-01-02 19:28:36
Angus Crookshank,NJD,C,8,1,1,0,0.12,25.0,1,4,0,0,0,100.0,0.0,0.5,2026-01-02 19:28:36
Brian Halonen,NJD,L,9,1,1,0,0.11,25.0,-1,5,1,0,0,100.0,0.0,0.44,2026-01-02 19:28:36
Adam Boqvist,NYI,D,12,1,0,1,0.08,0.0,-1,2,0,0,0,0.0,0.08,0.42,2026-01-02 19:28:36
Alexander Romanov,NYI,D,15,1,0,1,0.07,0.0,-7,6,0,0,0,0.0,0.07,1.13,2026-01-02 19:28:36
Travis Mitchell,NYI,D,9,1,1,0,0.11,25.0,0,6,0,0,0,100.0,0.0,0.44,2026-01-02 19:28:36
Maxim Tsyplakov,NYI,R,22,1,1,0,0.05,5.9,-7,2,0,0,0,100.0,0.0,0.77,2026-01-02 19:28:36
Connor Clattenburg,EDM,C,5,1,1,0,0.2,33.3,1,13,0,0,0,100.0,0.0,0.6,2026-01-02 19:28:36
Jacob Bernard-Docker,DET,D,26,1,0,1,0.04,0.0,0,4,0,0,0,0.0,0.04,0.85,2026-01-02 19:28:36
Kurtis MacDermid,OTT,L,16,1,0,1,0.06,0.0,-3,33,0,0,0,0.0,0.06,0.12,2026-01-02 19:28:36
Justin Robidas,CAR,C,2,1,0,1,0.5,0.0,0,0,0,0,0,0.0,0.5,1.0,2026-01-02 19:28:36
Sam Colangelo,ANA,R,7,1,1,0,0.14,33.3,-3,4,0,0,0,100.0,0.0,0.43,2026-01-02 19:28:36
Riley Tufte,BOS,L,4,1,1,0,0.25,25.0,-1,0,0,1,0,100.0,0.0,1.0,2026-01-02 19:28:36
Victor Soderstrom,BOS,D,8,1,0,1,0.12,0.0,3,0,0,0,0,0.0,0.12,1.0,2026-01-02 19:28:36
Justin Kirkland,CGY,C,10,1,0,1,0.1,0.0,0,0,0,0,0,0.0,0.1,0.5,2026-01-02 19:28:36
Zayne Parekh,CGY,D,11,1,0,1,0.09,0.0,0,0,0,0,0,0.0,0.09,1.0,2026-01-02 19:28:36
Matvei Gridin,CGY,R,4,1,1,0,0.25,11.1,-3,0,0,0,0,100.0,0.0,2.25,2026-01-02 19:28:36
Dominic Toninato,CHI,C,5,1,0,1,0.2,0.0,1,4,0,0,0,0.0,0.2,1.2,2026-01-02 19:28:36
Travis Hamonic,DET,D,19,1,0,1,0.05,0.0,-11,18,0,0,0,0.0,0.05,0.84,2026-01-02 19:28:36
Jack Ahcan,COL,D,6,1,0,1,0.17,0.0,4,0,0,0,0,0.0,0.17,0.33,2026-01-02 19:28:36
Tristen Nielsen,COL,C,4,1,0,1,0.25,0.0,1,0,0,0,0,0.0,0.25,0.75,2026-01-02 19:28:36
Ivan Ivan,COL,C,3,1,0,1,0.33,0.0,1,0,0,0,0,0.0,0.33,1.0,2026-01-02 19:28:36
Dysin Mayo,CBJ,D,2,1,0,1,0.5,0.0,0,0,0,0,0,0.0,0.5,2.0,2026-01-02 19:28:36
Jake Christiansen,CBJ,D,23,1,0,1,0.04,0.0,-8,4,0,0,0,0.0,0.04,0.74,2026-01-02 19:28:36
Luca Del Bel Belluz,CBJ,C,13,1,0,1,0.08,0.0,-2,4,0,0,0,0.0,0.08,0.85,2026-01-02 19:28:36
Matt Rempe,NYR,C,17,1,1,0,0.06,8.3,0,7,0,0,0,100.0,0.0,0.71,2026-01-02 19:28:36
Parker Ford,WPG,C,11,1,0,1,0.09,0.0,-2,4,0,0,0,0.0,0.09,0.64,2026-01-02 19:28:36
Harrison Brunicke,PIT,D,9,1,1,0,0.11,12.5,-4,6,0,0,0,100.0,0.0,0.89,2026-01-02 19:28:36
Maxim Groshev,TBL,D,1,1,0,1,1.0,0.0,1,0,0,0,0,0.0,1.0,1.0,2026-01-02 19:28:36
Ethan Cardwell,SJS,R,7,1,1,0,0.14,16.7,-3,2,1,0,0,100.0,0.0,0.86,2026-01-02 19:28:36
Cale Fleury,SEA,D,8,1,0,1,0.12,0.0,2,5,0,0,0,0.0,0.12,1.25,2026-01-02 19:28:36
Egor Zamula,PIT,D,13,1,0,1,0.08,0.0,4,4,0,0,0,0.0,0.08,0.69,2026-01-02 19:28:36
Oscar Fisker Molgaard,SEA,C,2,1,0,1,0.5,0.0,1,0,0,0,0,0.0,0.5,0.5,2026-01-02 19:28:36
Matt Luff,STL,R,5,1,1,0,0.2,20.0,-2,0,0,0,0,100.0,0.0,1.0,2026-01-02 19:28:36
Joona Koppanen,PIT,L,10,1,0,1,0.1,0.0,-1,2,0,0,0,0.0,0.1,0.6,2026-01-02 19:28:36
Caleb Jones,PIT,D,7,1,0,1,0.14,0.0,1,0,0,0,0,0.0,0.14,0.71,2026-01-02 19:28:36
Steven Santini,TBL,D,9,1,0,1,0.11,0.0,1,2,0,0,0,0.0,0.11,0.33,2026-01-02 19:28:36
Ryan Graves,PIT,D,17,1,1,0,0.06,5.3,-4,8,0,0,0,100.0,0.0,1.12,2026-01-02 19:28:36
Patrick Giles,SJS,R,3,1,0,1,0.33,0.0,1,0,0,0,0,0.0,0.33,0.67,2026-01-02 19:28:36
Conor Geekie,TBL,C,6,1,0,1,0.17,0.0,0,4,0,0,0,0.0,0.17,0.83,2026-01-02 19:28:36
Dakota Mermis,TOR,D,11,1,1,0,0.09,20.0,-3,11,0,0,0,100.0,0.0,0.45,2026-01-02 19:28:36
Arthur Kaliyev,OTT,R,2,1,0,1,0.5,0.0,0,0,0,0,0,0.0,0.5,2.0,2026-01-02 19:28:36
Andrew Agozzino,UTA,L,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Ethan Del Mastro,CHI,D,2,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,1.5,2026-01-02 19:28:36
Hunter Skinner,STL,D,1,0,0,0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Ilya Solovyov,COL,D,9,0,0,0,0.0,0.0,-4,4,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
Michael Callahan,BOS,D,5,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,0.6,2026-01-02 19:28:36
Jeffrey Viel,BOS,L,10,0,0,0,0.0,0.0,-1,30,0,0,0,0.0,0.0,1.1,2026-01-02 19:28:36
Taylor Makar,COL,L,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
Nikita Chibrikov,WPG,R,8,0,0,0,0.0,0.0,0,12,0,0,0,0.0,0.0,0.62,2026-01-02 19:28:36
Pierre-Luc Dubois,WSH,L,6,0,0,0,0.0,0.0,0,2,0,0,0,0.0,0.0,1.5,2026-01-02 19:28:36
Justin Danforth,BUF,R,4,0,0,0,0.0,0.0,-2,2,0,0,0,0.0,0.0,0.5,2026-01-02 19:28:36
Jason Polin,COL,R,2,0,0,0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Erik Gudbranson,CBJ,D,4,0,0,0,0.0,0.0,-2,6,0,0,0,0.0,0.0,0.75,2026-01-02 19:28:36
John Hayden,SEA,C,3,0,0,0,0.0,0.0,-1,2,0,0,0,0.0,0.0,0.67,2026-01-02 19:28:36
Elias Salomonsson,WPG,D,4,0,0,0,0.0,0.0,-4,0,0,0,0,0.0,0.0,0.75,2026-01-02 19:28:36
Luca Pinelli,CBJ,C,3,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,2.0,2026-01-02 19:28:36
Aleksanteri Kaskimaki,STL,C,5,0,0,0,0.0,0.0,-6,0,0,0,0,0.0,0.0,1.2,2026-01-02 19:28:36
Mason Geertsen,BUF,L,5,0,0,0,0.0,0.0,-1,12,0,0,0,0.0,0.0,0.2,2026-01-02 19:28:36
Domenick Fensore,CAR,D,1,0,0,0,0.0,0.0,-2,0,0,0,0,0.0,0.0,2.0,2026-01-02 19:28:36
Jaccob Slavin,CAR,D,5,0,0,0,0.0,0.0,-2,0,0,0,0,0.0,0.0,0.8,2026-01-02 19:28:36
Michael Kesselring,BUF,D,16,0,0,0,0.0,0.0,-4,10,0,0,0,0.0,0.0,1.44,2026-01-02 19:28:36
Haydn Fleury,WPG,D,16,0,0,0,0.0,0.0,-7,6,0,0,0,0.0,0.0,0.69,2026-01-02 19:28:36
Ryan Johnson,BUF,D,3,0,0,0,0.0,0.0,0,2,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Trevor Kuntar,BUF,C,1,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Colin Miller,WPG,D,12,0,0,0,0.0,0.0,-7,6,0,0,0,0.0,0.0,1.08,2026-01-02 19:28:36
Zach Metsa,BUF,D,10,0,0,0,0.0,0.0,7,4,0,0,0,0.0,0.0,0.4,2026-01-02 19:28:36
Georgii Merkulov,BOS,C,1,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Dryden Hunt,CGY,L,2,0,0,0,0.0,0.0,-2,0,0,0,0,0.0,0.0,1.5,2026-01-02 19:28:36
Rory Kerins,CGY,C,2,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,0.5,2026-01-02 19:28:36
Daniil Miromanov,CGY,D,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Hunter Brzustewicz,CGY,D,9,0,0,0,0.0,0.0,2,0,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
Dylan McIlrath,WSH,D,5,0,0,0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.4,2026-01-02 19:28:36
Sam Morton,CGY,C,3,0,0,0,0.0,0.0,-1,10,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
Matěj  Blümel,BOS,R,4,0,0,0,0.0,0.0,-3,0,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
Jakob Pelletier,TBL,L,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Mitchell Chaffee,TBL,R,7,0,0,0,0.0,0.0,0,4,0,0,0,0.0,0.0,1.14,2026-01-02 19:28:36
Hayden Hodgson,OTT,R,9,0,0,0,0.0,0.0,-1,11,0,0,0,0.0,0.0,0.33,2026-01-02 19:28:36
Erik Gustafsson,DET,D,1,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,2.0,2026-01-02 19:28:36
Adam Ginning,PHI,D,5,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.4,2026-01-02 19:28:36
Evgenii Dadonov,NJD,L,5,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,1.4,2026-01-02 19:28:36
Victor Mancini,VAN,D,5,0,0,0,0.0,0.0,-2,5,0,0,0,0.0,0.0,0.6,2026-01-02 19:28:36
Zack MacEwen,NJD,R,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.33,2026-01-02 19:28:36
Jacob Gaucher,PHI,C,3,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
Nathan Légaré,NJD,R,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Shane Lachance,NJD,L,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Seamus Casey,NJD,D,2,0,0,0,0.0,0.0,-3,0,0,0,0,0.0,0.0,2.0,2026-01-02 19:28:36
Nils Aman,VAN,C,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.5,2026-01-02 19:28:36
Xavier Parent,NJD,C,5,0,0,0,0.0,0.0,-1,2,0,0,0,0.0,0.0,0.4,2026-01-02 19:28:36
Joakim Kemell,NSH,R,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.5,2026-01-02 19:28:36
Derek Forbort,VAN,D,2,0,0,0,0.0,0.0,0,2,0,0,0,0.0,0.0,0.5,2026-01-02 19:28:36
Nils Hoglander,VAN,L,6,0,0,0,0.0,0.0,0,2,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
Joseph LaBate,VAN,C,1,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,2.0,2026-01-02 19:28:36
Garnet Hathaway,PHI,R,33,0,0,0,0.0,0.0,-8,25,0,0,0,0.0,0.0,0.45,2026-01-02 19:28:36
Nicolas Deslauriers,PHI,L,16,0,0,0,0.0,0.0,-3,24,0,0,0,0.0,0.0,0.44,2026-01-02 19:28:36
Brett Berard,NYR,L,11,0,0,0,0.0,0.0,-1,6,0,0,0,0.0,0.0,0.91,2026-01-02 19:28:36
Brennan Othmann,NYR,L,6,0,0,0,0.0,0.0,-3,7,0,0,0,0.0,0.0,0.83,2026-01-02 19:28:36
Jaroslav Chmelar,NYR,R,6,0,0,0,0.0,0.0,-2,7,0,0,0,0.0,0.0,0.5,2026-01-02 19:28:36
Ty Murchison,PHI,D,3,0,0,0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.33,2026-01-02 19:28:36
Braeden Cootes,VAN,C,3,0,0,0,0.0,0.0,-2,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Dennis Gilbert,OTT,D,1,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Ben Jones,MIN,C,20,0,0,0,0.0,0.0,-6,0,0,0,0,0.0,0.0,0.85,2026-01-02 19:28:36
Owen Pickering,PIT,D,4,0,0,0,0.0,0.0,-3,2,0,0,0,0.0,0.0,0.25,2026-01-02 19:28:36
Riley Stillman,EDM,D,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.33,2026-01-02 19:28:36
Tristan Broz,PIT,C,1,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,2.0,2026-01-02 19:28:36
Dmitry Kulikov,FLA,D,2,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,0.5,2026-01-02 19:28:36
Jack Studnicka,FLA,C,13,0,0,0,0.0,0.0,-3,2,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
Jack Devine,FLA,R,6,0,0,0,0.0,0.0,-3,2,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
Jacob Moverare,LAK,D,8,0,0,0,0.0,0.0,-2,0,0,0,0,0.0,0.0,0.5,2026-01-02 19:28:36
Samuel Helenius,LAK,C,12,0,0,0,0.0,0.0,-1,5,0,0,0,0.0,0.0,0.17,2026-01-02 19:28:36
Bokondji Imama,PIT,L,2,0,0,0,0.0,0.0,0,5,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
Jett Luchanko,PHI,C,4,0,0,0,0.0,0.0,-3,2,0,0,0,0.0,0.0,0.25,2026-01-02 19:28:36
Carson Lambos,MIN,D,1,0,0,0,0.0,0.0,1,0,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
Jaycob Megna,VGK,D,1,0,0,0,0.0,0.0,-2,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
Hunter Haight,MIN,C,2,0,0,0,0.0,0.0,-2,0,0,0,0,0.0,0.0,0.0,2026-01-02 19:28:36
David Jiricek,MIN,D,18,0,0,0,0.0,0.0,1,12,0,0,0,0.0,0.0,0.61,2026-01-02 19:28:36
Jacob Quillan,TOR,C,3,0,0,0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.33,2026-01-02 19:28:36
Joshua Roy,MTL,R,3,0,0,0,0.0,0.0,0,2,0,0,0,0.0,0.0,0.67,2026-01-02 19:28:36
Adam Engstrom,MTL,D,11,0,0,0,0.0,0.0,3,6,0,0,0,0.0,0.0,0.64,2026-01-02 19:28:36
Connor Clifton,PIT,D,15,0,0,0,0.0,0.0,-3,10,0,0,0,0.0,0.0,0.8,2026-01-02 19:28:36
Henry Thrun,TOR,D,4,0,0,0,0.0,0.0,-1,0,0,0,0,0.0,0.0,1.0,2026-01-02 19:28:36
